d3d11 render+decode devices on adapter 1: NVIDIA GeForce RTX 3070 Laptop GPU
play X:\Videos\2025\11_November\Rendered\post_constantly.mp4: 1080x1920 fps=30000/1001 frames=4500
audio: Speakers (Realtek(R) Audio) @ 48000 Hz stereo (WASAPI via PortAudio)
sync: playback auto-started at frame 0 (audio=on)
stat: drawn=27 want=27 fps=39.4 playing=1 seeks=1 aborts=0 dec=43 bf=0 lock=0.0 draw=0.0 pres=0.2
stat: drawn=57 want=57 fps=30.9 playing=1 seeks=1 aborts=0 dec=73 bf=0 lock=0.0 draw=0.0 pres=53.8
stat: drawn=87 want=87 fps=18.0 playing=1 seeks=1 aborts=0 dec=103 bf=0 lock=0.0 draw=0.0 pres=48.7
stat: drawn=117 want=117 fps=19.8 playing=1 seeks=1 aborts=0 dec=133 bf=0 lock=0.0 draw=0.0 pres=49.0
stat: drawn=148 want=148 fps=21.6 playing=1 seeks=1 aborts=0 dec=164 bf=0 lock=0.0 draw=0.0 pres=41.8
stat: drawn=178 want=178 fps=21.9 playing=1 seeks=1 aborts=0 dec=194 bf=0 lock=0.0 draw=0.0 pres=47.6
stat: drawn=208 want=208 fps=22.0 playing=1 seeks=1 aborts=0 dec=224 bf=0 lock=0.0 draw=0.0 pres=59.3
stat: drawn=238 want=238 fps=21.9 playing=1 seeks=1 aborts=0 dec=254 bf=0 lock=0.0 draw=0.0 pres=40.6
stat: drawn=269 want=269 fps=21.5 playing=1 seeks=1 aborts=0 dec=285 bf=0 lock=0.0 draw=0.0 pres=44.1
stat: drawn=299 want=299 fps=21.6 playing=1 seeks=1 aborts=0 dec=315 bf=0 lock=0.0 draw=0.0 pres=43.2
stat: drawn=330 want=330 fps=21.5 playing=1 seeks=1 aborts=0 dec=346 bf=0 lock=0.0 draw=0.0 pres=48.0
stat: drawn=360 want=360 fps=22.0 playing=1 seeks=1 aborts=0 dec=376 bf=0 lock=0.0 draw=0.0 pres=44.2
stat: drawn=390 want=390 fps=21.8 playing=1 seeks=1 aborts=0 dec=406 bf=0 lock=0.0 draw=0.0 pres=47.6
stat: drawn=421 want=421 fps=18.7 playing=1 seeks=1 aborts=0 dec=437 bf=0 lock=0.0 draw=0.0 pres=58.2
stat: drawn=452 want=452 fps=18.4 playing=1 seeks=1 aborts=0 dec=468 bf=0 lock=0.0 draw=0.0 pres=50.9
stat: drawn=482 want=482 fps=21.0 playing=1 seeks=1 aborts=0 dec=498 bf=0 lock=0.0 draw=0.0 pres=42.8
stat: drawn=513 want=513 fps=21.4 playing=1 seeks=1 aborts=0 dec=529 bf=0 lock=0.0 draw=0.0 pres=43.0
stat: drawn=543 want=543 fps=21.3 playing=1 seeks=1 aborts=0 dec=559 bf=0 lock=0.0 draw=0.0 pres=47.1
stat: drawn=574 want=574 fps=21.2 playing=1 seeks=1 aborts=0 dec=590 bf=0 lock=0.0 draw=0.0 pres=47.7
stat: drawn=606 want=606 fps=21.0 playing=1 seeks=1 aborts=0 dec=622 bf=0 lock=0.0 draw=0.0 pres=47.1
stat: drawn=637 want=637 fps=22.0 playing=1 seeks=1 aborts=0 dec=653 bf=0 lock=0.0 draw=0.0 pres=47.6
stat: drawn=667 want=667 fps=21.8 playing=1 seeks=1 aborts=0 dec=683 bf=0 lock=0.0 draw=0.0 pres=47.8
stat: drawn=698 want=698 fps=21.8 playing=1 seeks=1 aborts=0 dec=714 bf=0 lock=0.0 draw=0.0 pres=46.9
stat: drawn=728 want=728 fps=21.9 playing=1 seeks=1 aborts=0 dec=744 bf=0 lock=0.0 draw=0.0 pres=44.2
stat: drawn=758 want=758 fps=20.8 playing=1 seeks=1 aborts=0 dec=774 bf=0 lock=0.0 draw=0.0 pres=47.5
stat: drawn=789 want=789 fps=21.3 playing=1 seeks=1 aborts=0 dec=805 bf=0 lock=0.0 draw=0.0 pres=47.2
stat: drawn=820 want=820 fps=22.0 playing=1 seeks=1 aborts=0 dec=836 bf=0 lock=0.0 draw=0.0 pres=61.6
stat: drawn=851 want=851 fps=21.8 playing=1 seeks=1 aborts=0 dec=867 bf=0 lock=0.0 draw=0.0 pres=47.9
stat: drawn=881 want=881 fps=21.4 playing=1 seeks=1 aborts=0 dec=897 bf=0 lock=0.0 draw=0.0 pres=47.4
stat: drawn=912 want=912 fps=21.4 playing=1 seeks=1 aborts=0 dec=928 bf=0 lock=0.0 draw=0.0 pres=46.8
stat: drawn=943 want=943 fps=21.5 playing=1 seeks=1 aborts=0 dec=959 bf=0 lock=0.0 draw=0.0 pres=48.6
stat: drawn=973 want=973 fps=21.5 playing=1 seeks=1 aborts=0 dec=989 bf=0 lock=0.0 draw=0.0 pres=47.3
stat: drawn=1004 want=1004 fps=21.5 playing=1 seeks=1 aborts=0 dec=1020 bf=0 lock=0.0 draw=0.0 pres=43.2
stat: drawn=1034 want=1034 fps=21.0 playing=1 seeks=1 aborts=0 dec=1050 bf=0 lock=0.0 draw=0.0 pres=48.0
stat: drawn=1065 want=1065 fps=20.8 playing=1 seeks=1 aborts=0 dec=1081 bf=0 lock=0.0 draw=0.0 pres=46.1
stat: drawn=1096 want=1096 fps=21.3 playing=1 seeks=1 aborts=0 dec=1112 bf=0 lock=0.0 draw=0.0 pres=48.7
stat: drawn=1126 want=1126 fps=21.5 playing=1 seeks=1 aborts=0 dec=1142 bf=0 lock=0.0 draw=0.0 pres=47.6
stat: drawn=1157 want=1157 fps=21.3 playing=1 seeks=1 aborts=0 dec=1173 bf=0 lock=0.0 draw=0.0 pres=49.0
stat: drawn=1188 want=1188 fps=21.1 playing=1 seeks=1 aborts=0 dec=1204 bf=0 lock=0.0 draw=0.0 pres=48.4
stat: drawn=1219 want=1219 fps=21.2 playing=1 seeks=1 aborts=0 dec=1235 bf=0 lock=0.0 draw=0.0 pres=49.0
stat: drawn=1250 want=1250 fps=21.9 playing=1 seeks=1 aborts=0 dec=1266 bf=0 lock=0.0 draw=0.0 pres=41.9
stat: drawn=1280 want=1280 fps=21.6 playing=1 seeks=1 aborts=0 dec=1296 bf=0 lock=0.0 draw=0.0 pres=47.0
stat: drawn=1310 want=1310 fps=21.8 playing=1 seeks=1 aborts=0 dec=1326 bf=0 lock=0.0 draw=0.0 pres=46.0
stat: drawn=1340 want=1340 fps=20.8 playing=1 seeks=1 aborts=0 dec=1356 bf=0 lock=0.0 draw=0.0 pres=44.6
stat: drawn=1371 want=1371 fps=21.0 playing=1 seeks=1 aborts=0 dec=1387 bf=0 lock=0.0 draw=0.0 pres=49.3
stat: drawn=1403 want=1403 fps=21.5 playing=1 seeks=1 aborts=0 dec=1419 bf=0 lock=0.0 draw=0.0 pres=44.5
