d3d11 render+decode devices on adapter 1: NVIDIA GeForce RTX 3070 Laptop GPU
play X:\Videos\2025\11_November\Rendered\post_constantly.mp4: 1080x1920 fps=30000/1001 frames=4500
audio: Speakers (Realtek(R) Audio) @ 48000 Hz stereo (WASAPI via PortAudio)
sync: playback auto-started at frame 0 (audio=on)
stat: drawn=27 want=27 fps=40.4 playing=1 seeks=1 aborts=0 dec=43 bf=0 lock=0.0 draw=0.0 pres=0.2
stat: drawn=57 want=57 fps=30.9 playing=1 seeks=1 aborts=0 dec=73 bf=0 lock=0.0 draw=0.0 pres=53.5
stat: drawn=88 want=88 fps=22.5 playing=1 seeks=1 aborts=0 dec=104 bf=0 lock=0.0 draw=0.0 pres=46.3
stat: drawn=118 want=118 fps=21.7 playing=1 seeks=1 aborts=0 dec=134 bf=0 lock=0.0 draw=0.0 pres=42.0
stat: drawn=149 want=149 fps=21.3 playing=1 seeks=1 aborts=0 dec=165 bf=0 lock=0.0 draw=0.0 pres=46.1
stat: drawn=181 want=181 fps=22.2 playing=1 seeks=1 aborts=0 dec=197 bf=0 lock=0.0 draw=0.0 pres=44.6
stat: drawn=212 want=212 fps=21.8 playing=1 seeks=1 aborts=0 dec=228 bf=0 lock=0.0 draw=0.0 pres=60.3
stat: drawn=243 want=243 fps=22.3 playing=1 seeks=1 aborts=0 dec=259 bf=0 lock=0.0 draw=0.0 pres=42.7
stat: drawn=274 want=274 fps=22.1 playing=1 seeks=1 aborts=0 dec=290 bf=0 lock=0.0 draw=0.0 pres=48.6
stat: drawn=304 want=304 fps=21.9 playing=1 seeks=1 aborts=0 dec=320 bf=0 lock=0.0 draw=0.0 pres=40.9
stat: drawn=335 want=335 fps=21.7 playing=1 seeks=1 aborts=0 dec=351 bf=0 lock=0.0 draw=0.0 pres=42.3
stat: drawn=365 want=365 fps=21.3 playing=1 seeks=1 aborts=0 dec=381 bf=0 lock=0.0 draw=0.0 pres=43.7
stat: drawn=397 want=397 fps=22.4 playing=1 seeks=1 aborts=0 dec=413 bf=0 lock=0.0 draw=0.0 pres=44.7
stat: drawn=427 want=427 fps=22.3 playing=1 seeks=1 aborts=0 dec=443 bf=0 lock=0.0 draw=0.0 pres=47.3
stat: drawn=458 want=458 fps=21.2 playing=1 seeks=1 aborts=0 dec=474 bf=0 lock=0.0 draw=0.0 pres=46.9
stat: drawn=489 want=489 fps=22.5 playing=1 seeks=1 aborts=0 dec=505 bf=0 lock=0.0 draw=0.0 pres=47.1
stat: drawn=520 want=520 fps=21.3 playing=1 seeks=1 aborts=0 dec=536 bf=0 lock=0.0 draw=0.0 pres=44.5
stat: drawn=551 want=551 fps=21.2 playing=1 seeks=1 aborts=0 dec=567 bf=0 lock=0.0 draw=0.0 pres=43.7
stat: drawn=582 want=582 fps=21.6 playing=1 seeks=1 aborts=0 dec=598 bf=0 lock=0.0 draw=0.0 pres=43.5
stat: drawn=613 want=613 fps=21.0 playing=1 seeks=1 aborts=0 dec=629 bf=0 lock=0.0 draw=0.0 pres=49.2
stat: drawn=644 want=644 fps=21.2 playing=1 seeks=1 aborts=0 dec=660 bf=0 lock=0.0 draw=0.0 pres=45.8
stat: drawn=675 want=675 fps=21.6 playing=1 seeks=1 aborts=0 dec=691 bf=0 lock=0.0 draw=0.0 pres=47.2
stat: drawn=705 want=705 fps=21.4 playing=1 seeks=1 aborts=0 dec=721 bf=0 lock=0.0 draw=0.0 pres=44.1
stat: drawn=736 want=736 fps=21.5 playing=1 seeks=1 aborts=0 dec=752 bf=0 lock=0.0 draw=0.0 pres=46.8
stat: drawn=767 want=767 fps=21.8 playing=1 seeks=1 aborts=0 dec=783 bf=0 lock=0.0 draw=0.0 pres=41.1
stat: drawn=796 want=796 fps=21.9 playing=1 seeks=1 aborts=0 dec=812 bf=0 lock=0.0 draw=0.0 pres=48.0
stat: drawn=826 want=826 fps=20.9 playing=1 seeks=1 aborts=0 dec=842 bf=0 lock=0.0 draw=0.0 pres=46.3
stat: drawn=856 want=856 fps=21.7 playing=1 seeks=1 aborts=0 dec=872 bf=0 lock=0.0 draw=0.0 pres=65.6
stat: drawn=888 want=888 fps=21.4 playing=1 seeks=1 aborts=0 dec=904 bf=0 lock=0.0 draw=0.0 pres=42.3
stat: drawn=918 want=918 fps=21.5 playing=1 seeks=1 aborts=0 dec=934 bf=0 lock=0.0 draw=0.0 pres=48.0
stat: drawn=949 want=949 fps=22.2 playing=1 seeks=1 aborts=0 dec=965 bf=0 lock=0.0 draw=0.0 pres=44.0
stat: drawn=980 want=980 fps=21.8 playing=1 seeks=1 aborts=0 dec=996 bf=0 lock=0.0 draw=0.0 pres=47.8
stat: drawn=1010 want=1010 fps=21.6 playing=1 seeks=1 aborts=0 dec=1026 bf=0 lock=0.0 draw=0.0 pres=49.0
stat: drawn=1041 want=1041 fps=20.8 playing=1 seeks=1 aborts=0 dec=1057 bf=0 lock=0.0 draw=0.0 pres=44.3
stat: drawn=1071 want=1071 fps=21.4 playing=1 seeks=1 aborts=0 dec=1087 bf=0 lock=0.0 draw=0.0 pres=46.7
stat: drawn=1102 want=1102 fps=21.2 playing=1 seeks=1 aborts=0 dec=1118 bf=0 lock=0.0 draw=0.0 pres=44.0
stat: drawn=1133 want=1133 fps=21.7 playing=1 seeks=1 aborts=0 dec=1149 bf=0 lock=0.0 draw=0.0 pres=46.2
stat: drawn=1164 want=1164 fps=21.4 playing=1 seeks=1 aborts=0 dec=1180 bf=0 lock=0.0 draw=0.0 pres=47.5
stat: drawn=1194 want=1194 fps=22.0 playing=1 seeks=1 aborts=0 dec=1210 bf=0 lock=0.0 draw=0.0 pres=43.0
stat: drawn=1224 want=1224 fps=21.6 playing=1 seeks=1 aborts=0 dec=1240 bf=0 lock=0.0 draw=0.0 pres=46.4
stat: drawn=1254 want=1254 fps=21.9 playing=1 seeks=1 aborts=0 dec=1270 bf=0 lock=0.0 draw=0.0 pres=46.7
stat: drawn=1285 want=1285 fps=21.6 playing=1 seeks=1 aborts=0 dec=1301 bf=0 lock=0.0 draw=0.0 pres=47.8
stat: drawn=1315 want=1315 fps=21.3 playing=1 seeks=1 aborts=0 dec=1331 bf=0 lock=0.0 draw=0.0 pres=48.7
stat: drawn=1346 want=1346 fps=21.0 playing=1 seeks=1 aborts=0 dec=1362 bf=0 lock=0.0 draw=0.0 pres=43.3
stat: drawn=1376 want=1376 fps=21.6 playing=1 seeks=1 aborts=0 dec=1392 bf=0 lock=0.0 draw=0.0 pres=47.9
stat: drawn=1407 want=1407 fps=21.4 playing=1 seeks=1 aborts=0 dec=1423 bf=0 lock=0.0 draw=0.0 pres=43.0
